Level,Name,Value,Description
0,"CPU","687 Registers","CPU Registers"
 1,"Core","27 Registers","CPU registers"
  2,"R0",0x240001E0,"General purpose register 0"
  2,"R1",0x00D00000,"General purpose register 1"
  2,"R2",0x00000302,"General purpose register 2"
  2,"R3",0x891107FF,"General purpose register 3"
  2,"R4",0x40013000,"General purpose register 4"
  2,"R5",0x580244F0,"General purpose register 5"
  2,"R6",0x24002A70,"General purpose register 6"
  2,"R7",0x40003800,"General purpose register 7"
  2,"R8",0x40003C00,"General purpose register 8"
  2,"R9",0x40013400,"General purpose register 9"
  2,"R10",0x40004400,"General purpose register 10"
  2,"R11",0x40004800,"General purpose register 11"
  2,"R12",0x0000000F,"General purpose register 12"
  2,"R13 (SP)",0x24003AB8,"Stack pointer"
  2,"R14 (LR)",0x1FF0A613,"Link register"
  2,"R15 (PC)",0x1FF0AC2A,"Program counter"
  2,"xPSR","0x01000000 (nzcvqT)","Program status register"
  2,"MSP",0x24003AB8,"Main stack pointer"
  2,"PSP",0x00000000,"Process stack pointer"
  2,"APSR","0x00000000 (nzcvq)","Application program status register"
  2,"EPSR","0x01000000 (T)","Exception program status register"
  2,"IPSR",0x00000000,"Interrupt program status register"
  2,"PriMask","0x00000000 (p)","Priority mask register"
  2,"BasePri",0x00000000,"Base priority mask register"
  2,"FaultMask","0x00000000 (f)","Fault mask register"
  2,"Control","0x00000000 (fsn)","Control register"
  2,"CycleCount",0xCE2BC2C2,"Cycle count"
 1,"FPU","33 Registers","FPU Registers"
 1,"FPU (Double)","17 Registers","FPU Registers (double-precision)"
 1,"Peripherals","610 Registers","Memory-Mapped CPU Registers"
